4615.384615,4,”»’è(ƒWƒƒƒXƒg)‚ÌŽžŠÔ,,923.0769231,461.5384615
5076.923077,1,,,,
6461.538462,4,,,,
6923.076923,1,,,,
7846.153846,1,,,,
8769.230769,1,,,,
9692.307692,1,,,,
10615.38462,4,,,,
11538.46154,1,,,,
12461.53846,1,,,,
13384.61538,1,,,,
14307.69231,1,,,,
15230.76923,1,,,,
16153.84615,1,,,,
17076.92307,1,,,,
17538.46153,1,,,,
18000,1,,,,
19384.61538,4,,,,
19846.15385,1,,,,
21230.76923,4,,,,
21692.30769,1,,,,
22615.38462,1,,,,
23076.92308,1,,,,
23538.46154,1,,,,
24461.53846,1,,,,
24923.07692,1,,,,
25384.61538,4,,,,
26307.6923,1,,,,
26769.23076,4,,,,
27230.76923,1,,,,
28153.84615,1,,,,
28615.38461,4,,,,
29076.92308,1,,,,
30000,1,,,,
30461.53846,4,,,,
30923.07692,1,,,,
31384.61538,1,,,,
31846.15385,1,,,,
32307.69231,1,,,,
32769.23077,1,,,,
34153.84615,4,,,,
34615.38461,4,,,,
36000,4,,,,
36461.53846,1,,,,
37846.15385,4,,,,
38307.69231,4,,,,
38769.23077,4,,,,
39692.30769,4,,,,
40153.84615,1,,,,
40615.38461,1,,,,
41076.92307,1,,,,
41538.46153,1,,,,
42000,1,,,,
42461.53846,1,,,,
42923.07692,1,,,,
43384.61538,1,,,,
43846.15384,1,,,,
45230.76923,4,,,,
45692.30769,1,,,,
46153.84615,1,,,,
46615.38461,1,,,,
47076.92307,1,,,,
47538.46153,1,,,,
